ACTIVITY TYPE,ACTIVITY NAME,DEBIT,DEBIT CURRENCY,CREDIT,CREDIT CURRENCY,CARD NUMBER,LOCALITY,RECIPIENT,SENDER,FEES/COMMISSION,BUY/SELL,QUANTITY,ASSET,PRICE PER UNIT,DATE
PAYMENT_TRANSACTION_IN,Bank transfer,,,,2000.00,CHF,,,,Demo User,0,,,,, 15.01.2023
INVEST_ORDER_EXECUTED,1.5000x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-498.46,CHF,,,,,,,,2.45,BUY,1.5000,EQQQ,330.67,20.01.2023
INVEST_ORDER_EXECUTED,3.0000x World (Vanguard FTSE All-World Acc),-301.99,CHF,,,,,,,,1.00,BUY,3.0000,VWRA,100.33,25.01.2023
PAYMENT_TRANSACTION_IN,Bank transfer,,,,1500.00,CHF,,,,Demo User,0,,,,,10.02.2023
INVEST_ORDER_EXECUTED,8.0000x ABB (ABB),-238.24,CHF,,,,,,,,1.20,BUY,8.0000,ABBN,29.63,15.02.2023
INVEST_RECURRING_ORDER_EXECUTED,0.7500x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-260.41,CHF,,,,,,,,1.42,BUY,0.7500,EQQQ,345.33,01.03.2023
INVEST_ORDER_EXECUTED,9.5000x Silver (Swisscanto Silver),-55.68,CHF,,,,,,,,0.20,BUY,9.5000,CSIL,5.84,10.03.2023
INVEST_ORDER_EXECUTED,7.0000x Gold (Swisscanto Gold),-109.98,CHF,,,,,,,,0.50,BUY,7.0000,IGLD,15.64,10.03.2023
PAYMENT_TRANSACTION_IN,Bank transfer,,,,2000.00,CHF,,,,Demo User,0,,,,,05.04.2023
INVEST_ORDER_EXECUTED,4.5000x Spain (Xtrackers SICAV Spain),-199.79,CHF,,,,,,,,0.80,BUY,4.5000,XESP,44.22,12.04.2023
INVEST_RECURRING_ORDER_EXECUTED,0.7500x World (Vanguard FTSE All-World Acc),-78.00,CHF,,,,,,,,0.25,BUY,0.7500,VWRA,103.67,01.05.2023
INVEST_RECURRING_ORDER_EXECUTED,0.7500x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-267.00,CHF,,,,,,,,1.50,BUY,0.7500,EQQQ,354.00,01.06.2023
INVEST_ORDER_EXECUTED,2.3000x Switzerland SMI (iShares SMI),-288.80,CHF,,,,,,,,0.85,BUY,2.3000,CSSMI,125.22,15.06.2023
INVEST_ORDER_EXECUTED,1.5000x Tesla (Tesla Inc),-282.74,CHF,,,,,,,,1.75,BUY,1.5000,TSLA,187.33,20.06.2023
PAYMENT_TRANSACTION_IN,Bank transfer,,,,1500.00,CHF,,,,Demo User,0,,,,,01.07.2023
INVEST_ORDER_EXECUTED,5.0000x ABB (ABB),-157.75,CHF,,,,,,,,0.75,BUY,5.0000,ABBN,31.40,10.07.2023
INVEST_RECURRING_ORDER_EXECUTED,0.5000x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc),-173.23,CHF,,,,,,,,0.73,BUY,0.5000,EQQQ,345.00,01.08.2023
INVEST_ORDER_EXECUTED,1.2000x Tesla (Tesla Inc),-289.92,CHF,,,,,,,,1.92,BUY,1.2000,TSLA,240.00,15.08.2023
INVEST_ORDER_EXECUTED,3.5000x Spain (Xtrackers SICAV Spain),-166.27,CHF,,,,,,,,0.75,BUY,3.5000,XESP,47.29,12.09.2023
INVEST_ORDER_EXECUTED,6.0000x Silver (Swisscanto Silver),-37.62,CHF,,,,,,,,0.12,BUY,6.0000,CSIL,6.25,15.09.2023
INVEST_ORDER_EXECUTED,5.0000x Gold (Swisscanto Gold),-92.50,CHF,,,,,,,,0.50,BUY,5.0000,IGLD,18.40,18.09.2023
